Vocabulary Size:  27710
Total number of model parameters: 31.56M
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 78.22s | valid loss  5.20 | valid ppl   182.16
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.07 | ppl   159.47
| epoch   5 |  1000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.08 | ppl   160.38
| epoch   5 |  1500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.12 | ppl   166.52
| epoch   5 |  2000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.04 | ppl   154.16
| epoch   5 |  2500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.00 | ppl   148.15
| epoch   5 |  3000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.07 | ppl   158.45
| epoch   5 |  3500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.08 | ppl   160.35
| epoch   5 |  4000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.08 | ppl   160.37
| epoch   5 |  4500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.08 | ppl   161.20
| epoch   5 |  5000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.09 | ppl   161.74
| epoch   5 |  5500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.08 | ppl   159.99
| epoch   5 |  6000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.10 | ppl   164.28
| epoch   5 |  6500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.05 | ppl   155.82
| epoch   5 |  7000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.05 | ppl   156.78
| epoch   5 |  7500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.02 | ppl   152.04
| epoch   5 |  8000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.10 | ppl   164.63
| epoch   5 |  8500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.03 | ppl   153.42
| epoch   5 |  9000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  4.99 | ppl   146.84
| epoch   5 |  9500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.00 | ppl   148.83
| epoch   5 | 10000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  4.99 | ppl   147.18
| epoch   5 | 10500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.04 | ppl   154.83
| epoch   5 | 11000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.06 | ppl   157.72
| epoch   5 | 11500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.02 | ppl   151.29
| epoch   5 | 12000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.02 | ppl   150.79
| epoch   5 | 12500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  4.98 | ppl   145.71
| epoch   5 | 13000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.00 | ppl   147.92
| epoch   5 | 13500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.02 | ppl   151.06
| epoch   5 | 14000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.04 | ppl   154.39
| epoch   5 | 14500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  4.97 | ppl   143.60
| epoch   5 | 15000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  4.97 | ppl   143.33
| epoch   5 | 15500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  4.97 | ppl   143.91
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 78.41s | valid loss  5.17 | valid ppl   175.83
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 2.00 | ms/batch  4.89 | loss  5.02 | ppl   151.09
| epoch   6 |  1000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.03 | ppl   152.66
| epoch   6 |  1500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.05 | ppl   156.51
