Vocabulary Size:  27710
Total number of model parameters: 28.46M
| epoch   6 |  9500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.00 | ppl   147.97
| epoch   6 | 10000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.99 | ppl   146.77
| epoch   6 | 10500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.04 | ppl   154.38
| epoch   6 | 11000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.06 | ppl   156.82
| epoch   6 | 11500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.02 | ppl   150.96
| epoch   6 | 12000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.01 | ppl   149.85
| epoch   6 | 12500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.98 | ppl   145.04
| epoch   6 | 13000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.99 | ppl   147.28
| epoch   6 | 13500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.02 | ppl   150.68
| epoch   6 | 14000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.03 | ppl   153.60
| epoch   6 | 14500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.97 | ppl   143.69
| epoch   6 | 15000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.97 | ppl   143.76
| epoch   6 | 15500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.97 | ppl   144.33
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 73.78s | valid loss  5.18 | valid ppl   177.93
-----------------------------------------------------------------------------------------
| epoch   7 |   500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.02 | ppl   150.79
| epoch   7 |  1000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.02 | ppl   152.09
| epoch   7 |  1500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.05 | ppl   156.75
| epoch   7 |  2000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.99 | ppl   146.32
| epoch   7 |  2500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.96 | ppl   142.07
| epoch   7 |  3000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.01 | ppl   150.22
| epoch   7 |  3500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.02 | ppl   152.03
| epoch   7 |  4000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.03 | ppl   152.83
| epoch   7 |  4500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.03 | ppl   152.96
| epoch   7 |  5000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.04 | ppl   154.00
| epoch   7 |  5500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.03 | ppl   153.31
| epoch   7 |  6000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.05 | ppl   156.42
| epoch   7 |  6500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.00 | ppl   148.83
| epoch   7 |  7000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.01 | ppl   149.39
| epoch   7 |  7500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.98 | ppl   145.21
| epoch   7 |  8000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.05 | ppl   156.69
| epoch   7 |  8500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.99 | ppl   146.94
| epoch   7 |  9000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.95 | ppl   140.96
| epoch   7 |  9500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.96 | ppl   142.81
| epoch   7 | 10000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.95 | ppl   141.50
| epoch   7 | 10500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.00 | ppl   149.00
| epoch   7 | 11000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.02 | ppl   151.93
| epoch   7 | 11500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.98 | ppl   145.69
| epoch   7 | 12000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.98 | ppl   145.28
| epoch   7 | 12500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.95 | ppl   140.95
| epoch   7 | 13000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.96 | ppl   142.99
| epoch   7 | 13500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.98 | ppl   145.68
| epoch   7 | 14000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.00 | ppl   148.84
| epoch   7 | 14500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.94 | ppl   139.42
| epoch   7 | 15000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.94 | ppl   139.74
| epoch   7 | 15500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.94 | ppl   139.87
-----------------------------------------------------------------------------------------
| end of epoch   7 | time: 73.72s | valid loss  5.16 | valid ppl   173.33
-----------------------------------------------------------------------------------------
| epoch   8 |   500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.99 | ppl   146.49
| epoch   8 |  1000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  4.99 | ppl   147.46
| epoch   8 |  1500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.02 | ppl   151.92
